No,Index,Frame,Age,Div_Age,Generation_time
,-1,342,7,-4,124
,-1,404,8,-3,120
,-1,464,9,-2,94
,-1,511,10,-1,96
,-1,559,11,0,
,0,605,12,0,
,1,658,13,0,
,1,731,14,1,146
,1,796,15,2,130
,1,849,16,3,106
,,,,,
19_3,-1,5,0,-11,96
,-1,53,1,-10,92
,-1,99,2,-9,74
,-1,136,3,-8,68
,-1,170,4,-7,98
,-1,219,5,-6,188
,-1,313,6,-5,136
,-1,381,7,-4,50
,-1,406,8,-3,76
,-1,444,9,-2,100
,-1,494,10,-1,126
,-1,557,11,0,
,0,614,12,0,
,1,668,13,0,
,1,716,14,1,96
,1,752,15,2,72
,1,782,16,3,60
,1,818,17,4,72
,1,862,18,5,88
,1,887,19,6,50
,1,934,20,7,94
,1,973,21,8,78
,1,1015,22,9,84
,,,,,
20_1,-1,45,0,-12,74
,-1,82,1,-11,72
,-1,118,2,-10,80
,-1,158,3,-9,96
,-1,206,4,-8,94
,-1,253,5,-7,146
,-1,326,6,-6,70
,-1,361,7,-5,74
,-1,398,8,-4,172
,-1,484,9,-3,88
,-1,528,10,-2,84
,-1,570,11,-1,44
,-1,592,12,0,
,1,647,13,0,
,1,685,14,1,76
,1,747,15,2,124
,1,803,16,3,112
,1,871,17,4,136
,1,930,18,5,118
,1,968,19,6,76
,1,1041,20,7,146
,,,,,
21_1,-1,14,0,-14,62
,-1,45,1,-13,78
,-1,84,2,-12,82
,-1,125,3,-11,70
,-1,160,4,-10,84
,-1,202,5,-9,102
,-1,253,6,-8,80
,-1,293,7,-7,38
,-1,312,8,-6,82
,-1,353,9,-5,78
,-1,392,10,-4,84
,-1,434,11,-3,118
,-1,493,12,-2,82
,-1,534,13,-1,100
,-1,584,14,0,
,1,636,15,0,
,1,662,16,1,52
,1,696,17,2,68
,1,733,18,3,74
,1,786,19,4,106
,1,842,20,5,112
,1,893,21,6,102
,1,922,22,7,58
,1,955,23,8,66
,1,997,24,9,84
,1,1046,25,10,98
,1,1096,26,11,100
,1,1151,27,12,110
,1,1199,28,13,96
,1,1226,29,14,54
,1,1263,30,15,74
,,,,,
21_2,-1,9,0,-14,74
,-1,46,1,-13,68
,-1,80,2,-12,58
,-1,109,3,-11,72
,-1,145,4,-10,116
,-1,203,5,-9,92
,-1,249,6,-8,72
,-1,285,7,-7,94
,-1,332,8,-6,80
,-1,372,9,-5,56
,-1,400,10,-4,86
,-1,443,11,-3,90
,-1,488,12,-2,132
,-1,554,13,-1,74
,-1,591,14,0,
,1,648,15,0,
,1,717,16,1,138
,1,753,17,2,72
,1,773,18,3,40
,1,816,19,4,86
,,,,,
21_3,-1,64,0,-12,76
,-1,102,1,-11,52
,-1,128,2,-10,64
,-1,160,3,-9,188
,-1,254,4,-8,104
,-1,306,5,-7,62
,-1,337,6,-6,84
,-1,379,7,-5,66
,-1,412,8,-4,78
,-1,451,9,-3,60
,-1,481,10,-2,80
,-1,521,11,-1,72
,-1,557,12,0,
,1,626,13,0,
,1,673,14,1,94
,1,705,15,2,64
,1,751,16,3,92
,1,786,17,4,70
,1,828,18,5,84
,1,878,19,6,100
,,,,,
23_1,-1,54,0,-12,100
,-1,104,1,-11,88
,-1,148,2,-10,86
,-1,191,3,-9,76
,-1,229,4,-8,92
,-1,275,5,-7,68
,-1,309,6,-6,138
,-1,378,7,-5,24
,-1,390,8,-4,70
,-1,425,9,-3,88
,-1,469,10,-2,114
,-1,526,11,-1,104
,-1,578,12,0,
,1,649,13,0,
,1,696,14,1,94
,1,745,15,2,98
,1,784,16,3,78
,1,819,17,4,70
,1,846,18,5,54
,1,868,19,6,44
,1,890,20,7,44
,1,934,21,8,88
,1,1001,22,9,134
,1,1075,23,10,148
,1,1104,24,11,58
,1,1152,25,12,96
,1,1188,26,13,72
,1,1235,27,14,94
,,,,,
23_2,-1,37,0,-11,108
,-1,91,1,-10,100
,-1,141,2,-9,104
,-1,193,3,-8,72
,-1,229,4,-7,62
,-1,260,5,-6,72
,-1,296,6,-5,96
,-1,344,7,-4,112
,-1,400,8,-3,100
,-1,450,9,-2,124
,-1,512,10,-1,136
,-1,580,11,0,
,1,686,12,0,
,1,738,13,1,104
,1,766,14,2,56
,1,806,15,3,80
,1,850,16,4,88
,1,902,17,5,104
,1,940,18,6,76
,1,976,19,7,72
,1,1017,20,8,82
,1,1062,21,9,90
,1,1102,22,10,80
,,,,,
23_3,-1,9,0,-13,72
,-1,45,1,-12,70
,-1,80,2,-11,92
,-1,126,3,-10,34
,-1,143,4,-9,60
,-1,173,5,-8,94
,-1,220,6,-7,162
,-1,301,7,-6,70
,-1,336,8,-5,76
,-1,374,9,-4,88
,-1,418,10,-3,48
,-1,442,11,-2,72
,-1,478,12,-1,212
,-1,584,13,0,
,0,612,14,0,
,1,655,15,0,
,1,703,16,1,96
,1,749,17,2,92
,1,823,18,3,148
,1,872,19,4,98
,1,935,20,5,126
,1,988,21,6,106
,1,1038,22,7,100
,,,,,
23_4,-1,3,0,-14,102
,-1,54,1,-13,48
,-1,78,2,-12,78
,-1,117,3,-11,96
,-1,165,4,-10,58
,-1,194,5,-9,78
,-1,233,6,-8,56
,-1,261,7,-7,92
,-1,307,8,-6,84
,-1,349,9,-5,90
,-1,394,10,-4,176
,-1,482,11,-3,112
,-1,538,12,-2,46
,-1,561,13,-1,66
,-1,594,14,0,
,1,703,15,0,
,1,730,16,1,54
,1,777,17,2,94
,1,804,18,3,54
,1,832,19,4,56
,1,867,20,5,70
,1,897,21,6,60
,1,923,22,7,52
,1,950,23,8,54
,1,983,24,9,66
,1,1024,25,10,82
,1,1063,26,11,78
,1,1098,27,12,70
,,,,,
24_1,-1,12,0,-13,32
,-1,28,1,-12,78
,-1,67,2,-11,76
,-1,105,3,-10,96
,-1,153,4,-9,96
,-1,201,5,-8,60
,-1,231,6,-7,62
,-1,262,7,-6,80
,-1,302,8,-5,74
,-1,339,9,-4,96
,-1,387,10,-3,78
,-1,426,11,-2,106
,-1,479,12,-1,196
,-1,577,13,0,
,0,613,14,0,
,1,665,15,0,
,1,707,16,1,84
,1,757,17,2,100
,1,810,18,3,106
,,,,,
24_2,-1,10,0,-12,56
,-1,38,1,-11,66
,-1,71,2,-10,56
,-1,99,3,-9,58
,-1,128,4,-8,84
,-1,170,5,-7,198
,-1,269,6,-6,86
,-1,312,7,-5,150
,-1,387,8,-4,80
,-1,427,9,-3,78
,-1,466,10,-2,136
,-1,534,11,-1,122
,-1,595,12,0,
,1,658,13,0,
,1,723,14,1,130
,1,763,15,2,80
